cahyadiburhanudin;2;"maaf, jaitan tag erigo nya kurang rapih, trs pas direndem Aer bersih warnanya langsung luntur padahal cuma di celup celupin doang.
untuk brand sebesar erigo harus nya kualitas produk nya lebih di perhatiin lagi????"
pipicrispy;2;Tukang jahit nya ngantuk nih kayanya, kejar setoran. jahitan nya asal banget,kalau jahit nya rapi bagus banget nih produk.
u*****8;2;tolong kalo jualan online posisikan diri anda juga sebagai pembeli. saya sudah pesan untuk cek kualitas sebelum kemas. saran saya bagian packing perusahaan anda diajari cek kualitas sebelum kemas. thanks
f*****2;2;2x order punya suamiku, selalu kancing nya copot terus!!! Kecewa selalu kayagtu. Tingkatkan lagi tolong pihak produksinya. Maaf aku kasih bintang 2, soalnya beli 2x kancing copot terus
gallihbuek;2;"Saya pesen XL tapi yg datang XXL
Lain kali fokus dong kan org jadi kaga jadi make"
goglowing.smd;2;Untuk pengiriman lama banget checout tgl 26 baru dikirim tgl 31 alhasil tgl 3 baru nyampe lama bgt rencana buat kado tapi keburu basi
saffronrizkibles;3;Pengiriman nya lama, 6 harian baru sampai, Kainnya bagus adem, dan lumayan gak tipis, tapi sayang ada cacat di bagian lengang kanan, sobek jahitan untung bagian dalam aja jadi masih bisa di pakai tapi nyangkut terus pas mau makan ke robekannya itu ngenganggu. Mudah mudahan bisa di perbaiki cek dluke
r*****n;3;Shokkk bangettt, kirain bakal beneran ukuran S ternyata sperti ukuran L yaampun nyesek banget pas dateng begini dipake kegedean gak di pake sayang
a*****i;3;Kecewa bgt sama erigo, quality control ga cek barang dengan benar, kemeja kaya gini bisa lolos, jaitan sobek ga rapih. Ga ada waktu buat return kelamaan.
wiyansabil02;3;Banyak benang dan jahitan kurang rapih di bagian lengan kiri, ya gapapa lah beli pas lagi diskon. Tingkatkan lagi erigoooo
algi_apriatna;3;"gywismdbhakwkndihwbeirjbvaywubdo7hsywy237h3bd890db7h3bdy6g2bd7bbdk
BAHAN NYA TIPIS KIRAIN BAKAL TEBEL:))"
h*****_;3;Sayang banget bagian belakang nya robek mengecewakan sih
n*****a;3;Jaitannya kurang rapih sekelas erigo. Tapi bagus si bahannya adem...
blairsophie;3;Bahanya adem,
zulbriziz;3;Kainya gak panass... Tapinya sayang ekspedisi nya sangat lama pengiriman makanya saya memberi bintang tiga...
genosracing;3;Kancing kurang satu dang ga ada kancing cadangannya..... Mohon untuk pengecekan sebelum pengiriman ditingkatkan lagi
ragilkurniawan23;3;Kalo mau di kirim di check lagi dong , sobek di lengan maen di kirim aja
wahyu1bahari;3;beli size M ternyata seukuran size XL lokal .alahasil kegedan .mending turunin size kalo mau mau order.untuk bahan adem dan haluss ??
miswardi1202;3;Barang udah sampek packing nya rapi barangnya juga bagus mantap
rizqiian;3;good
ririsp;3;Dimohon untuk ketelitiannya gan, walopun banyak yg order. Utamain kualitasnya gan. Sobek gitu ya... cobaa itu gmna?
asepharisman;3;Kecewa aja dalam pengirimannya. Di Shopee RESInya Si Cepat, Paket Mandeg 5 Hari di si cepat. udah nanya ke HUB dan Drop Point sana sini eh baru dikasih Resi nya MALAH resi JNE tanpa ada konfirmasi ke saya nya. KECEWA BANGET SIH BUAT PELAYANAN PENGIRIMANNYA. HATI-HATI NI ERIGO PERLU DIPERHATIKAN.
riki_muiz;3;"Paket nya baru sampai setelah sekian lama menunggu ?? , Maaf kasih bintang segitu dulu 
Kecewa sama kurir nya barang udah Deket tapi ga di kirim kirim"
dr.gn;3;Kaya baju bekas , banyak bercak putih ..  pengiriman sih cepet banget , cuma ya kaya baju bekas 
tomigofaralfarisi;3;Good buat bahannya engga ribet bawaannya cuman masalah di bagian jahitan tangan jahitannya ada yang lost sampe di jahit manual ,jahitannya juga engga rapih engga simetris buat baju se kelas jistro .
maruf_nm;3;Barangnya sudah sampai, tapi waktu pengirimannya sangat lama sampai lewati batas tanggal terima. Sangat kecewa sih soalnya belinya buat dipake lebaran
bornesia_botanical;3;"Pesan ukuran M yg datamg XL ?????? 
Cukup sekali aja lah pesan erigo"
oktv30_;3;Bahannya si bagus adem cuman dibagian bawah ada lunturan apa gtau ga memuaskan bangettt
m*****v;3;baju nya kotor
ihabtaufik1;3;Mantap
14fibmsd2b;3;Nga dapet stiker nya ??
saffronrizkibles;3;Pengiriman nya lama, 6 harian baru sampai, Kainnya bagus adem, dan lumayan gak tipis, tapi sayang ada cacat di bagian lengang kanan, sobek jahitan untung bagian dalam aja jadi masih bisa di pakai tapi nyangkut terus pas mau makan ke robekannya itu ngenganggu. Mudah mudahan bisa di perbaiki cek dluke
n*****0;4;terimakasih pesanan saya sudah sampai, ini bahannya menurut aku kurang enak karena agak kaku gitu tapi gapapa  masih wort it dengan dapat harga promo hanya 108ribu saja. terdapat free stiker lumayan. bajunya untuk kado semoga doi suka.
